question,center_answer,ball_radius,certified_radius,probability
Who was the man behind The Chipmunks?,David Seville,0.0,2,0.85
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,0.0,2,0.85
Who was the next British Prime Minister after Arthur Balfour?,MR BALLINGTON,0.9941538467574679,2,0.85
Who had a 70s No 1 hit with Kiss You All Over?,Vince McMahon,1.0432775946719939,2,0.85
What claimed the life of singer Kathleen Ferrier?,HIV,1.309086946464117,2,0.85
Rita Coolidge sang the title song for which Bond film?,Winnie the Pooh,1.2819661059837588,2,0.85
What was the last US state to reintroduce alcohol after prohibition?,Oklahoma,0.9151430685376541,2,0.85
Which actress was voted Miss Greenwich Village in 1942?,JOAN CRAWFORD,0.9033401599913508,2,0.85
What is the Japanese share index called?,Japanese acronym for Nikkei,0.9057577496373345,2,0.85
What was the name of Michael Jackson's autobiography written in 1988?,"The book by Alex Haley, Moonwalk",1.0306200418745244,2,0.85
